iter	Passed	Remaining
1443	82225	202488
1444	82275	202414
1445	82332	202358
1446	82391	202306
1447	82445	202242
1448	82496	202170
1449	82548	202100
1450	82604	202041
1451	82660	201982
1452	82710	201908
1453	82767	201852
1454	82821	201788
1455	82886	201750
1456	82945	201699
1457	82996	201627
1458	83050	201564
1459	83106	201503
1460	83160	201440
1461	83215	201379
1462	83275	201328
1463	83330	201267
1464	83380	201193
1465	83432	201126
1466	83493	201078
1467	83553	201029
1468	83607	200964
1469	83658	200893
1470	83714	200834
1471	83768	200772
1472	83821	200704
1473	83873	200636
1474	83932	200584
1475	83987	200522
1476	84039	200455
1477	84093	200389
1478	84148	200329
1479	84206	200274
1480	84261	200214
1481	84314	200148
1482	84369	200085
1483	84421	200017
1484	84475	199952
1485	84526	199882
1486	84582	199823
1487	84636	199760
1488	84686	199686
1489	84738	199619
1490	84787	199542
1491	84842	199481
1492	84893	199411
1493	84952	199359
1494	85007	199298
1495	85068	199252
1496	85122	199187
1497	85185	199146
1498	85256	199120
1499	85305	199046
1500	85361	198987
1501	85417	198929
1502	85476	198876
1503	85536	198826
1504	85591	198766
1505	85648	198709
1506	85709	198662
1507	85763	198598
1508	85818	198538
1509	85876	198483
1510	85939	198441
1511	85996	198383
1512	86050	198319
1513	86102	198252
1514	86158	198194
1515	86214	198134
1516	86264	198062
1517	86320	198003
1518	86373	197935
1519	86430	197881
1520	86483	197814
1521	86535	197746
1522	86590	197685
1523	86644	197622
1524	86696	197554
1525	86748	197485
1526	86805	197429
1527	86865	197380
1528	86918	197315
1529	86977	197262
1530	87038	197214
1531	87089	197144
1532	87142	197079
1533	87194	197011
1534	87251	196955
1535	87304	196889
1536	87356	196821
1537	87408	196755
1538	87466	196699
1539	87521	196639
1540	87574	196573
1541	87627	196507
1542	87685	196454
1543	87744	196402
1544	87795	196332
1545	87846	196262
1546	87900	196199
1547	87956	196141
1548	88011	196079
1549	88061	196008
1550	88121	195957
1551	88178	195901
1552	88235	195844
1553	88290	195783
1554	88346	195725
1555	88402	195666
1556	88456	195603
1557	88506	195533
1558	88567	195483
1559	88620	195420
1560	88668	195343
1561	88726	195288
1562	88782	195231
1563	88839	195175
1564	88891	195107
1565	88950	195055
1566	89006	194995
1567	89064	194941
1568	89114	194871
1569	89168	194807
1570	89223	194747
1571	89284	194698
1572	89342	194645
1573	89398	194585
1574	89451	194520
1575	89501	194448
1576	89555	194387
1577	89608	194322
1578	89662	194258
1579	89715	194195
1580	89765	194123
1581	89823	194069
1582	89879	194010
1583	89938	193957
1584	89989	193888
1585	90047	193834
1586	90105	193779
1587	90157	193713
1588	90206	193640
1589	90254	193565
1590	90304	193493
1591	90356	193425
1592	90408	193359
1593	90461	193293
1594	90518	193238
1595	90580	193192
1596	90633	193128
1597	90684	193060
1598	90739	192998
1599	90799	192948
1600	90847	192874
1601	90893	192793
1602	90945	192726
1603	91000	192665
1604	91056	192608
1605	91109	192543
1606	91165	192486
1607	91217	192419
1608	91272	192357
1609	91321	192285
1610	91376	192225
1611	91436	192174
1612	91496	192125
1613	91548	192059
1614	91612	192016
1615	91673	191970
1616	91727	191906
1617	91780	191841
1618	91836	191784
1619	91895	191733
1620	91950	191673
1621	92001	191604
1622	92050	191531
1623	92103	191465
1624	92158	191406
1625	92210	191339
1626	92260	191269
1627	92321	191221
1628	92390	191189
1629	92438	191115
1630	92490	191048
1631	92549	190996
1632	92602	190931
1633	92649	190854
1634	92700	190786
1635	92750	190716
1636	92808	190661
1637	92862	190600
1638	92913	190532
1639	92969	190474
1640	93024	190412
1641	93078	190351
1642	93134	190294
